MSSubClass,BldgType,OverallCond,Functional,LotFrontage_clean,LotArea_clean_tr,GrLiveArea_clean
10,0,6,6,60.0,6.258269289063796,1641.0
8,0,6,6,52.0,5.741652680219582,1573.0
12,0,4,6,0.0,6.759836261821716,1472.0
8,0,6,4,75.0,6.59838382282217,1750.0
9,0,4,6,68.0,6.4037604175937615,1768.0
4,0,4,6,72.0,6.17800850567412,1196.0
4,0,4,6,67.0,6.147085017246478,1126.0
4,0,2,6,0.0,6.488429169812621,845.0
9,0,3,3,0.0,6.439746132903546,1968.0
8,0,6,6,60.0,6.27615923969046,1221.0
10,0,6,6,60.0,5.143520796755042,1368.0
1,3,5,6,21.0,4.511509334477726,987.0
4,0,4,6,114.0,6.353993924755753,1442.0
4,0,4,6,67.0,6.161028871630209,1220.0
4,0,4,6,63.0,6.105916212096592,1500.0
9,0,4,6,0.0,6.97803838822277,2450.0
4,0,4,2,0.0,7.240534300907341,2207.0
4,0,4,6,64.0,5.834653008207044,1208.0
8,0,4,6,81.0,6.560172443659669,1795.0
14,2,2,6,42.0,5.989935427185066,1440.0
4,0,4,6,83.0,6.361705253678903,1212.0
8,0,6,6,0.0,5.638647832550005,1111.0
9,0,8,6,0.0,6.17292043584977,2715.0
9,0,4,6,57.0,6.167539112491606,1724.0
4,0,4,6,0.0,6.282847787900986,1328.0
4,0,4,6,70.0,6.093346248827459,1052.0
9,0,4,6,121.0,6.936552851293053,2417.0
4,0,5,6,60.0,6.062570198735462,948.0
10,0,7,6,60.0,6.478695576769098,2019.0
5,0,6,6,51.0,5.677673342291824,869.0
0,3,4,6,34.0,5.3996117919746025,1554.0
9,0,4,6,85.0,6.439746132903546,2112.0
5,0,6,6,0.0,7.599025367569846,1416.0
9,0,4,6,62.0,5.94322580578076,1593.0
4,0,6,6,78.0,6.226660251719744,1381.0
4,0,5,2,80.0,6.258269289063796,1632.0
5,0,6,6,50.0,5.753564925152674,954.0
13,0,4,6,64.0,5.924837857424507,1922.0
4,0,5,6,71.0,5.885862849825184,980.0
9,0,4,6,68.0,6.459970049778168,1786.0
4,0,4,6,75.0,6.320138090366269,1694.0
4,0,5,6,50.0,6.034176336545164,972.0
4,0,5,3,0.0,6.765573453416199,1437.0
9,0,4,6,0.0,6.210611944805823,2263.0
9,0,5,6,80.0,6.497880344838573,1725.0
4,0,5,2,72.0,6.310960940595876,1236.0
4,0,4,6,70.0,5.966290000837807,1040.0
4,0,4,6,98.0,6.48594473853302,1704.0
4,0,4,6,104.0,6.472667708987045,1523.0
4,0,4,6,81.0,6.45606062785261,1489.0
0,4,4,6,51.0,5.153483418634312,1569.0
4,0,4,6,70.0,6.191676799741621,1212.0
4,0,4,6,67.0,6.285156433038698,1573.0
9,0,4,3,80.0,6.359261263232546,1790.0
10,0,5,6,137.41000000000008,7.345439552185648,1576.0
9,0,4,6,64.0,6.149044783323334,1728.0
4,0,4,6,110.0,6.770815504364167,1600.0
4,0,4,6,86.0,6.76385433911632,1922.0
9,0,4,6,83.0,6.665681792383113,1692.0
4,0,4,6,84.0,6.442186443776074,1656.0
5,0,6,6,60.0,6.4074429950736125,1047.0
9,0,4,6,56.0,7.278768798697372,2728.0
4,0,4,6,100.0,6.331503970824474,1425.0
5,0,5,6,0.0,6.157832955161028,952.0
4,0,4,6,43.0,6.706611773112422,990.0
12,0,4,6,0.0,7.350173768685473,988.0
4,0,3,6,0.0,6.164218170542502,1056.0
4,0,4,6,42.0,6.832672510356938,1746.0
9,0,4,6,74.0,6.32726693010407,1718.0
12,0,5,3,70.0,6.63779178674273,1464.0
9,0,4,6,68.0,6.169058823491888,1660.0
0,4,4,6,61.0,5.981678573042379,1752.0
14,2,4,6,0.0,7.165498205638086,2620.0
9,0,4,6,130.0,8.221721900716576,3123.4800000000023
7,0,5,6,50.0,5.72126540620467,784.0
4,0,4,6,85.0,5.8701142718792925,1120.0
4,0,4,6,75.0,6.458246471611242,1382.0
9,0,4,6,0.0,6.501466373702722,1386.0
4,0,2,6,50.0,5.49280271653059,334.0
1,4,4,6,30.0,5.018108359035555,1200.0
0,4,4,6,0.0,4.98292375846207,1414.0
14,2,4,4,65.0,6.170301110514775,1584.0
10,0,6,6,0.0,6.481077784429391,1517.0
4,0,6,6,80.0,6.435670709429189,1258.0
4,0,5,6,0.0,5.729269550361842,902.0
4,0,4,6,63.0,6.6568444330626,1158.0
5,0,6,6,80.0,6.6859217837531055,964.0
9,0,4,5,0.0,7.131801946345739,2380.0
4,0,4,6,64.0,5.926946283464065,1232.0
4,0,6,6,60.0,5.905067806081953,864.0
9,0,5,6,82.0,6.464213695436583,1982.0
9,0,4,6,78.0,6.54509317364063,1924.0
10,0,8,6,53.0,6.421383651162948,2080.0
9,0,4,6,62.0,6.021603133015821,1647.0
0,4,4,6,50.0,6.035985504270898,1617.0
4,0,5,6,60.0,6.186223971552927,1340.0
4,0,4,6,83.0,6.3295114825055085,1940.0
8,0,3,6,75.0,6.248460041315679,1855.0
13,0,6,6,0.0,6.202525183063819,884.0
1,3,4,6,36.0,4.829754682108618,1626.0
8,0,6,6,50.0,5.114622783130152,1284.0
9,0,4,6,0.0,6.459970049778168,2290.0
14,2,4,6,110.0,6.103756354388637,816.0
8,0,4,6,0.0,6.7329964919108605,2183.0
8,0,5,6,98.0,6.153096369297951,1869.0
11,0,4,6,53.0,5.896489617936877,1646.0
4,0,4,6,88.0,6.430298689661663,1844.0
4,0,4,6,89.0,6.429947716366707,1571.0
8,0,4,4,63.0,6.480057267205734,2082.0
14,2,4,6,82.0,6.439164560950331,1959.0
9,0,4,6,93.0,6.543784830878372,2374.0
9,0,5,6,100.0,6.649495102097494,2142.0
1,4,4,6,30.0,5.017477388519056,1200.0
9,0,4,6,75.0,6.228654698077587,1992.0
9,0,4,6,0.0,6.431000406460921,2285.0
4,0,4,6,0.0,8.221721900716576,1824.0
4,0,4,6,98.0,6.934305298085815,1850.0
3,1,6,6,62.0,6.322893383066582,1355.0
9,0,4,6,72.0,6.467646327000473,1668.0
8,0,6,6,0.0,6.022059418777901,1406.0
4,0,5,4,137.0,6.9735619803860205,1888.0
0,4,4,6,40.0,5.418536129158608,1228.0
9,0,4,6,59.0,6.183763913521971,1638.0
4,0,4,6,73.0,6.421736500292368,960.0
4,0,4,6,86.0,6.678498759201696,1698.0
4,0,4,6,80.0,6.299445666336463,1063.0
4,0,6,6,65.0,5.873983275361573,1236.0
14,2,4,6,64.0,5.878177184587591,1535.0
2,3,6,6,21.0,4.5216022974376,630.0
1,4,3,6,21.0,4.668239602914168,1092.0
4,0,4,6,108.0,6.667099527119233,1652.0
4,0,5,6,75.0,6.015200563366134,1144.0
4,0,4,6,75.0,6.307805774064411,1795.0
4,0,4,6,118.0,6.720003047290417,1541.0
12,0,4,0,70.0,6.020537928078635,1507.0
1,3,4,6,24.0,4.835987117425455,1441.0
4,0,4,6,93.0,6.229584566166689,1479.0
1,4,2,6,21.0,4.416333444896913,987.0
5,0,5,6,50.0,6.223997008550184,672.0
11,0,7,6,60.0,6.093346248827459,2192.0
4,0,4,6,80.0,6.357548231780849,2000.0
4,0,4,6,74.0,6.11295053105166,1125.0
4,0,4,3,77.0,6.083886745203492,1124.0
4,0,6,6,110.0,6.790870804291409,1839.0
8,0,6,6,0.0,8.221721900716576,2144.0
9,0,4,6,80.0,6.748785222959513,2260.0
9,0,5,6,100.0,6.245176560762305,1977.0
4,0,5,6,69.0,5.972433033815513,845.0
9,0,4,6,69.0,6.223597128668833,1786.0
10,0,6,2,79.0,6.491360418548719,2555.0
4,0,4,6,70.0,6.377742144532143,1700.0
9,0,4,6,58.0,6.413601276365274,1671.0
8,0,5,6,50.0,6.122089724230952,1376.0
4,0,4,6,73.0,6.291168622005512,1689.0
10,0,7,6,60.0,6.4074429950736125,2554.0
8,0,7,6,100.0,6.614865815558338,1416.0
4,0,6,6,73.0,5.891849838433909,816.0
4,0,4,6,80.0,6.359261263232546,1370.0
4,0,5,6,0.0,6.512733180682054,1442.0
8,0,4,2,50.0,6.127064728253061,1285.0
12,0,4,6,0.0,6.112090924211945,1474.0
9,0,4,6,92.0,6.299445666336463,2013.0
4,0,4,6,78.0,6.335357294900263,1563.0
4,0,5,2,0.0,8.221721900716576,1663.0
8,0,3,6,60.0,6.4074429950736125,1192.0
10,0,1,3,60.0,6.258269289063796,1774.0
9,0,4,6,73.0,6.144701936433938,1962.0
4,0,4,6,73.0,6.177047183004087,1302.0
8,0,7,6,40.0,5.35415001520179,1118.0
4,0,4,6,85.0,6.203470813553422,1766.0
4,0,4,6,63.0,6.015200563366134,1253.0
4,0,4,6,81.0,6.267628656853982,1097.0
4,0,5,6,0.0,6.601440681076111,1078.0
9,0,4,6,0.0,6.354852589191316,1572.0
6,0,5,6,0.0,7.491417416639142,1524.0
9,0,4,6,0.0,6.144000326237927,2060.0
4,0,5,6,0.0,6.784558174143036,1344.0
8,0,3,6,0.0,5.997219646627718,1818.0
4,0,4,6,61.0,6.025553023677155,1029.0
1,4,3,0,42.0,5.243565883930402,2521.0
9,0,4,6,68.0,6.156719775180431,1500.0
4,0,5,6,95.0,6.919711934519213,2217.0
0,4,4,6,44.0,5.7783539938551405,1370.0
4,0,4,6,60.0,5.908353878125555,1262.0
9,0,4,6,80.0,6.467532023299166,1894.0
4,0,4,6,93.0,6.547162579314478,1694.0
4,0,5,6,70.0,6.371443845407657,864.0
1,3,4,0,24.0,4.790148932430777,1709.0
8,0,3,6,0.0,6.598911271575738,1738.0
4,0,5,3,79.0,6.387623811920316,1319.0
9,0,4,6,90.0,6.584397784875126,3123.4800000000023
10,0,6,6,60.0,5.855216171889198,1355.0
5,0,1,4,55.0,5.567635001422608,1306.0
13,0,6,6,70.0,6.09986088906784,768.0
3,1,5,6,50.0,5.944027103613015,1077.0
8,0,6,6,50.0,5.696790520283512,1183.0
9,0,4,6,65.0,6.180477734482706,1456.0
9,0,4,6,66.0,6.141612451312664,2291.0
0,4,4,6,0.0,5.362641007153658,848.0
9,0,4,6,96.0,6.5947926910685055,2332.0
8,0,7,6,50.0,5.696790520283512,1348.0
10,0,6,6,120.0,6.722355166539129,2108.0
8,0,5,6,60.0,6.435670709429189,1336.0
9,0,4,6,137.41000000000008,8.221721900716576,3123.4800000000023
4,0,4,2,0.0,6.245570943152565,1344.0
9,0,4,6,75.0,6.034779633531484,1935.0
8,0,5,6,60.0,6.0599029868805925,1470.0
4,0,6,6,0.0,7.303537920085272,2156.0
14,2,4,6,70.0,6.191676799741621,1728.0
9,0,4,6,75.0,6.284515482950612,1768.0
4,0,4,6,72.0,6.32863897936336,1048.0
9,0,4,6,65.0,6.220394383847751,1728.0
10,0,4,6,50.0,5.546664028629259,2358.0
12,0,4,6,73.0,6.256964939369586,1146.0
4,0,4,6,0.0,6.479716951893276,1601.0
8,0,4,6,0.0,6.714698705699494,1920.0
10,0,6,6,60.0,5.9944341277077,1363.0
4,0,6,6,57.0,5.774401873391289,1148.0
4,0,4,6,64.0,5.834653008207044,1294.0
8,0,4,6,52.0,6.237135760516424,1248.0
12,0,4,6,0.0,5.99598227722404,1419.0
4,0,6,6,0.0,6.602388210996172,1440.0
4,0,4,6,90.0,7.033823978487297,1140.0
9,0,5,6,0.0,6.357058454938104,2090.0
9,0,4,6,72.0,5.912614872260887,1640.0
4,0,4,6,65.0,6.052916375537975,1679.0
8,0,5,6,60.0,5.696790520283512,1218.0
0,4,4,6,44.0,5.310614560922933,1142.0
13,0,5,6,0.0,6.1918128745692265,1110.0
3,1,4,6,68.0,6.416907501624095,1164.0
10,0,4,6,60.0,5.771160253529411,1192.0
4,0,4,6,63.0,6.1077856199210885,1422.0
4,0,6,6,57.0,6.279507075911156,894.0
9,0,4,6,85.0,6.380399336712301,1953.0
9,0,4,6,80.0,6.590663796240157,1792.0
3,1,3,6,60.0,6.563408840125461,924.0
0,4,4,6,50.0,5.904245144054186,752.0
10,0,5,6,75.0,6.662233691872483,1740.0
9,0,4,6,0.0,6.262955966277423,1593.0
8,0,3,6,71.0,6.110657170611912,1385.0
4,0,4,6,62.0,5.956789490835459,1266.0
9,0,4,6,137.41000000000008,7.469830351124911,2021.0
4,0,4,6,80.0,6.264774780547157,1334.0
1,3,4,6,24.0,4.643984379003459,1252.0
8,0,6,6,60.0,6.110657170611912,2526.0
4,0,4,6,105.0,6.881431866446083,2402.0
10,0,7,6,60.0,5.725924423298399,1362.0
9,0,4,6,118.0,8.14103275347154,3123.4800000000023
9,0,4,6,82.0,6.303251214219794,2520.0
4,0,2,2,74.0,6.335357294900263,944.0
4,0,4,6,70.0,6.110800606534577,912.0
9,0,4,6,65.0,6.052916375537975,1553.0
4,0,4,6,75.0,6.336474247948343,948.0
9,0,4,6,72.0,6.127774125600811,1852.0
8,0,5,6,60.0,6.364145494233328,1230.0
4,0,4,6,63.0,5.956789490835459,1080.0
8,0,6,6,45.0,6.0711327680964855,1250.0
9,0,5,6,80.0,6.278992488747323,1611.0
9,0,4,6,80.0,6.301730098035472,1949.0
10,0,5,6,54.0,5.811518221095637,1369.0
12,0,4,6,0.0,6.195075087628011,1482.0
7,0,5,6,58.0,5.7671883569550255,1048.0
4,0,4,6,72.0,6.127774125600811,1372.0
4,0,4,6,0.0,5.850273184257792,1296.0
4,0,4,6,65.0,6.146804846555619,990.0
8,0,6,6,60.0,6.296903516328987,1489.0
9,0,4,6,109.0,6.763567650082988,2172.0
4,0,4,6,43.0,5.018108359035555,1266.0
4,0,4,6,75.0,6.013213279714785,1218.0
4,0,4,6,57.0,6.0758363435785,932.0
1,4,4,6,24.0,4.705948400030223,1322.0
8,0,7,6,59.0,5.559284555125613,1635.0
4,0,4,6,0.0,7.064843300523573,1478.0
8,0,2,6,58.0,6.094796355190844,1184.0
9,0,4,6,65.0,6.100583022495098,1710.0
13,0,5,6,0.0,5.963129887834998,912.0
9,0,4,3,0.0,7.790589590535936,2126.0
12,0,4,6,73.0,6.275772490905191,1394.0
4,0,5,6,80.0,6.104908658860872,970.0
12,0,4,6,0.0,6.579282358950235,1034.0
9,0,4,6,89.0,6.504709392358994,1720.0
3,1,3,6,50.0,5.696790520283512,1387.0
12,0,6,6,124.0,6.489782711930932,1357.0
4,0,4,6,73.0,6.218656805910723,1264.0
9,0,4,6,137.41000000000008,6.606907807262286,1484.0
1,4,6,6,44.0,5.558446745645141,1767.0
5,0,7,6,70.0,5.635478715564837,813.0
3,1,7,6,60.0,5.837755998620694,754.0
4,0,6,6,137.41000000000008,7.732840050451032,2069.0
12,0,4,6,85.0,6.334612221694316,1509.0
9,0,4,6,65.0,6.052916375537975,1481.0
3,1,4,6,60.0,6.293465088622872,960.0
4,0,4,6,60.0,5.908353878125555,1040.0
14,2,4,6,60.0,5.908353878125555,1040.0
10,0,5,6,54.0,5.970702942055596,1802.0
9,0,4,6,75.0,6.17800850567412,2610.0
4,0,3,6,134.0,7.077243452858491,1466.0
8,0,5,6,60.0,6.4074429950736125,1652.0
9,0,4,6,59.0,6.457441505056052,2097.0
0,4,4,6,44.0,5.436741972855375,1625.0
8,0,3,6,81.0,6.895820303308634,2287.0
9,0,4,6,107.0,6.73824351905652,2822.0
9,0,4,6,0.0,6.568144038680671,2054.0
3,1,4,6,90.0,6.9096509921159175,1336.0
4,0,4,6,68.0,6.238588807105832,894.0
0,4,4,6,32.0,6.412891911806216,1719.0
9,0,4,6,81.0,6.424439103937607,2127.0
4,0,5,6,80.0,6.150303314869646,1251.0
4,0,6,6,70.0,5.962338811939834,912.0
8,0,5,6,50.0,5.682476795309197,968.0
9,0,5,6,44.0,6.25147475986243,1829.0
9,0,4,6,0.0,7.158657259264206,1574.0
5,0,4,6,60.0,6.0158115072442,720.0
4,0,4,6,129.0,6.994159357738285,1980.0
4,0,6,6,91.0,6.762707291212273,1621.0
4,0,6,6,0.0,6.985613624147915,1602.0
6,0,6,6,40.0,5.578003108649138,1616.0
4,0,5,6,47.0,6.959040323119742,1600.0
12,0,5,6,0.0,6.36512054338194,2119.0
1,3,4,0,24.0,4.790148932430777,1709.0
4,0,4,6,93.0,6.449600862997146,2110.0
5,0,5,6,70.0,5.3221311819397785,774.0
5,0,3,6,40.0,5.153766935355983,796.0
4,0,5,6,0.0,6.988466848352361,1707.0
9,0,4,6,86.0,6.378950508041498,2161.0
9,0,4,6,70.0,6.143298395415736,1716.0
4,0,4,6,80.0,6.334239553600097,1362.0
9,0,4,6,0.0,6.249247050603361,1796.0
0,4,4,6,64.0,5.616111664983407,1652.0
10,0,8,6,50.0,6.17800850567412,1482.0
5,0,6,2,51.0,5.719397542467799,1015.0
8,0,6,6,79.0,6.243861232810562,1578.0
4,0,6,6,85.0,6.334612221694316,1086.0
1,3,4,6,21.0,4.416333444896913,1218.0
13,0,5,6,74.0,6.141893570572839,860.0
8,0,6,3,55.0,6.150303314869646,1140.0
10,0,5,6,60.0,5.908353878125555,1502.0
12,0,6,6,82.0,6.1807518497866845,1165.0
9,0,4,6,0.0,6.011529677687482,1960.0
9,0,4,6,75.0,6.477559959595581,2031.0
9,0,6,6,0.0,6.4192649260302055,1392.0
4,0,4,6,95.0,6.563624373057757,1541.0
4,0,5,6,75.0,5.938891312722116,1327.0
8,0,5,6,50.0,5.696790520283512,1324.0
9,0,5,6,85.0,6.485605657354957,1552.0
9,0,4,6,0.0,6.254614365409901,2810.0
11,0,8,6,90.0,7.4500045497631024,3123.4800000000023
4,0,5,6,115.0,7.008144291960741,1328.0
9,0,4,6,42.0,7.648694108307621,2519.0
8,0,6,6,85.0,6.1077856199210885,1517.0
4,0,6,6,68.0,6.022363532475986,1057.0
8,0,7,3,79.0,6.579175618264904,2132.0
4,0,4,6,85.0,6.799687954025331,1629.0
4,0,4,6,0.0,6.561251952101155,1188.0
4,0,4,6,49.0,6.865752378196841,1464.0
0,3,4,6,32.0,5.378268784662851,1216.0
4,0,4,6,98.0,6.480284104370403,1634.0
8,0,6,6,60.0,6.04380027117127,924.0
4,0,7,6,0.0,6.070838310205485,1060.0
1,4,5,6,24.0,4.705948400030223,1548.0
5,0,4,6,60.0,6.093346248827459,438.0
5,0,5,6,47.0,5.403840154082454,747.0
4,0,4,6,65.0,5.900124941055914,892.0
14,2,5,6,70.0,5.992574234663324,1190.0
4,0,4,6,0.0,6.245176560762305,1394.0
14,2,4,6,60.0,5.9719613894098975,1960.0
0,4,4,6,36.0,5.362641007153658,848.0
4,0,4,6,50.0,6.041550158756184,1339.0
7,0,2,6,60.0,6.17800850567412,784.0
4,0,4,6,0.0,6.174985188380781,948.0
4,0,5,6,80.0,6.309573444801933,1178.0
9,0,4,6,0.0,6.402927694359208,1983.0
14,2,4,6,63.0,6.218255550467589,1728.0
5,0,4,6,30.0,5.542855374982498,764.0
2,3,4,6,21.0,4.371259381615241,988.0
1,4,4,6,30.0,4.959344196412832,1224.0
1,3,4,6,21.0,4.416333444896913,987.0
9,0,4,6,70.0,6.143298395415736,1908.0
4,0,5,6,68.0,6.254483674316021,1144.0
12,0,5,6,0.0,6.358649678179567,1032.0
9,0,4,6,97.0,6.313228759690384,2060.0
4,0,4,6,66.0,6.719120152929468,1114.0
12,0,4,6,0.0,7.0864670310888345,1724.0
1,3,6,6,21.0,4.416333444896913,1218.0
4,0,3,6,60.0,6.093346248827459,841.0
0,4,4,6,0.0,5.170664894576473,1088.0
4,0,7,6,0.0,5.875158777411962,864.0
4,0,4,6,69.0,6.465930922375665,1826.0
11,0,6,6,60.0,5.908353878125555,1111.0
4,0,7,6,72.0,6.160334671176341,912.0
9,0,6,6,92.0,6.517949678101752,2270.0
4,0,4,6,37.0,5.866910427296058,923.0
4,0,6,6,74.0,6.163109597829741,910.0
14,2,3,6,60.0,6.114095921900496,1040.0
8,0,5,6,90.0,5.578003108649138,1374.0
4,0,4,6,107.0,6.791622984500299,2121.0
9,0,4,6,59.0,6.521491803515478,1959.0
8,0,5,6,51.0,5.719397542467799,1539.0
4,0,5,6,78.0,6.003699139679289,1268.0
5,0,3,6,50.0,5.696790520283512,960.0
4,0,4,6,112.0,6.414428471899565,1097.0
11,0,6,6,60.0,6.4074429950736125,1768.0
8,0,7,3,80.0,6.258269289063796,1668.0
4,0,2,1,120.0,6.705820712489665,1392.0
8,0,5,6,50.0,5.696790520283512,1412.0
4,0,4,6,61.0,6.337838344141607,1630.0
0,4,4,6,35.0,5.323127929117464,1241.0
13,0,6,6,54.0,5.915557611861999,768.0
4,0,6,6,0.0,6.822179349144099,1640.0
4,0,5,6,60.0,6.047543028729672,1419.0
14,2,4,6,60.0,6.4074429950736125,1200.0
9,0,8,6,0.0,5.95233509781268,1479.0
4,0,7,2,87.0,6.434387727381432,1414.0
10,0,4,6,34.0,5.395134104945687,1344.0
9,0,5,6,0.0,6.820701447226465,2320.0
5,0,4,6,0.0,5.948186902709175,788.0
1,3,5,6,24.0,4.69817466433411,1441.0
4,0,5,6,70.0,6.191676799741621,864.0
4,0,5,6,60.0,6.17800850567412,864.0
14,2,4,6,85.0,6.485605657354957,1776.0
4,0,5,6,65.0,6.100583022495098,1056.0
5,0,0,0,0.0,6.312095257535841,904.0
4,0,4,6,0.0,5.354879927527637,1478.0
8,0,5,6,60.0,5.656342682076918,1605.0
9,0,4,6,68.0,6.202390045907756,1790.0
9,0,6,6,0.0,6.347477498610232,1868.0
1,3,4,6,21.0,4.5216022974376,1218.0
4,0,4,6,114.0,6.8244860102574005,2084.0
1,3,5,6,24.0,4.694474338399126,1456.0
4,0,5,6,75.0,6.301603272039192,1256.0
9,0,4,6,0.0,6.013060302883416,1509.0
10,0,7,6,61.0,5.918005429642919,2320.0
10,0,5,6,86.0,7.415272608108523,2624.0
8,0,5,6,50.0,6.17800850567412,1375.0
3,1,4,6,75.0,6.357058454938104,1095.0
14,2,6,6,67.0,6.147085017246478,2200.0
